,dataset,1,2,3,4,5,6,7,8,9,10,11,12,13
0,BTCV,9.58,6.22,5.29,0.26,0.47,53.47,14.4,2.34,2.81,1.39,3.47,0.14,0.17
1,BTCV,5.64,5.08,5.78,0.9,0.31,59.25,12.12,2.4,4.04,1.05,2.9,0.23,0.29
2,BTCV,6.7,4.88,5.08,1.91,0.42,46.56,25.55,3.45,2.41,0.79,1.97,0.1,0.18
3,BTCV,7.36,7.15,7.05,0.2,0.2,59.47,7.88,1.68,3.74,1.24,3.74,0.15,0.14
4,BTCV,3.42,6.94,7.02,0.87,0.32,63.11,8.35,1.95,3.89,0.82,3.03,0.11,0.19
5,BTCV,12.04,4.31,4.51,1.38,0.59,58.8,9.12,4.15,2.44,0.96,1.27,0.2,0.23
6,BTCV,10.65,0.54,0.57,0.86,0.52,67.47,7.55,2.26,3.39,1.43,4.45,0.16,0.13
7,BTCV,44.34,2.18,3.64,0.17,0.28,31.59,10.43,1.66,2.52,1.8,1.26,0.08,0.06
8,BTCV,2.44,3.89,4.8,0.45,0.41,54.51,26.27,2.26,1.88,0.89,1.93,0.11,0.15
9,BTCV,3.95,6.26,6.56,1.35,0.36,60.67,11.91,1.84,2.65,0.92,3.32,0.05,0.15
10,BTCV,11.41,4.84,5.13,0.52,0.33,47.9,20.66,2.27,2.76,1.0,2.94,0.13,0.12
11,BTCV,7.77,4.85,4.55,0.0,0.76,61.86,8.96,5.8,2.31,0.63,2.15,0.16,0.2
12,BTCV,11.25,4.4,4.36,0.14,0.4,56.5,13.38,2.89,1.5,1.22,3.62,0.16,0.18
13,BTCV,5.36,3.98,3.96,1.38,0.36,57.06,20.98,1.95,1.97,0.61,2.05,0.17,0.18
14,BTCV,5.68,5.25,4.23,1.29,0.37,61.98,13.45,2.07,2.61,1.04,1.79,0.1,0.13
15,BTCV,4.05,2.83,2.33,1.38,0.35,69.33,12.7,2.22,2.15,0.71,1.66,0.15,0.14
16,BTCV,6.86,5.09,4.68,0.6,0.35,59.99,9.78,3.66,3.63,0.96,4.07,0.16,0.16
17,BTCV,14.22,7.0,6.02,2.37,0.31,52.44,6.12,2.81,3.89,1.67,2.91,0.12,0.13
18,BTCV,5.22,5.57,4.7,0.98,0.44,53.44,18.95,2.73,3.6,0.6,3.42,0.16,0.19
19,BTCV,9.27,6.19,5.96,0.27,0.39,50.23,17.5,2.96,3.07,1.19,2.73,0.11,0.13
20,BTCV,11.09,5.28,5.84,0.0,0.66,57.55,9.49,2.18,3.25,1.39,2.96,0.15,0.16
21,BTCV,8.62,4.16,4.37,0.14,0.62,47.16,26.42,2.35,2.19,0.79,2.84,0.15,0.2
22,BTCV,12.3,4.72,4.61,0.58,0.43,56.15,12.07,1.98,2.57,1.21,3.09,0.15,0.14
23,BTCV,4.88,5.58,5.81,0.17,0.89,46.97,23.73,5.7,2.07,0.85,3.08,0.07,0.2
24,BTCV,8.84,5.26,5.65,1.86,0.69,54.06,12.7,4.66,1.68,1.53,2.67,0.16,0.23
25,BTCV,5.2,5.83,6.08,0.53,1.57,51.57,13.4,8.69,3.13,1.25,2.15,0.25,0.35
26,BTCV,10.01,5.8,5.88,1.32,0.53,58.21,5.9,5.43,2.94,0.92,2.74,0.14,0.19
27,BTCV,8.64,6.61,4.68,0.88,0.75,52.0,14.0,4.44,3.42,1.36,2.95,0.12,0.17
28,BTCV,8.26,5.16,6.29,0.3,0.48,60.21,10.13,2.71,3.98,1.13,1.15,0.09,0.12
29,BTCV,8.08,6.11,5.49,1.81,1.14,54.99,10.55,3.57,2.74,0.9,4.31,0.18,0.14
